name,wins,losses,draws,height_cm,weight_kg,SigStrike/Min,SigStrikeAcc%,SigStrikeAbs/Min,SigStrikeDef%,AvgTd/15Min,TdAcc%,TdDef5,AvgSub/15Min
Brianna Fortino,9,3,0,152.4,52.16,3.53,41,3.23,57,2.5,45,66,0
Cory Devela,16,7,0,152.4,83.91,4.07,41,4,47,1.07,12,62,0
Danielle Taylor,9,4,0,152.4,52.16,2.75,29,3.31,71,0.2,20,70,0.2
Marnic Mann,6,2,0,152.4,52.16,1.1,42,4.93,31,1.83,30,16,0
Montserrat Conejo Ruiz,10,4,0,152.4,52.16,0.79,27,4.96,37,2.05,83,33,0.8
Angela Magana,11,9,0,154.94,52.16,1.53,28,4.92,42,0.4,25,28,0.4
Carla Esparza,20,7,0,154.94,52.16,2.16,40,2.69,55,3.22,35,47,0.3
Hannah Cifers,10,7,0,154.94,52.16,4.99,44,5.39,52,0.26,100,64,0.3
Jamie Moyle,4,3,0,154.94,52.16,4.51,51,4,65,1,21,50,0
Janaina Silva,5,1,0,154.94,52.16,0,0,1.5,62,0,0,0,0
Jessica Andrade,25,12,0,154.94,52.16,6.67,50,5.36,54,2.45,54,72,0.4
Jodie Esquibel,6,6,0,154.94,52.16,4.1,31,7.37,52,0.75,21,83,0
Kanako Murata,12,3,0,154.94,52.16,2.15,56,2.4,53,3.38,56,100,0.8
Loma Lookboonmee,8,3,0,154.94,52.16,4.14,58,2.58,52,2.04,50,74,0.2
Naho Sugiyuma,12,5,0,154.94,47.63,2.59,48,2.45,71,2.05,100,66,0
Rin Nakai,19,2,1,154.94,61.23,1.57,33,3.9,60,3,18,75,0.5
Tabatha Ricci,9,2,0,154.94,52.16,4.41,37,4.86,59,3.39,41,71,0.2
Talita Alencar,4,0,1,154.94,52.16,2.33,38,5.8,42,4,16,0,0
Tecia Torres,13,6,0,154.94,52.16,4.74,48,3.59,61,0.66,14,61,0.1
Viviane Pereira,13,2,0,154.94,52.16,2.7,30,4.48,58,0.25,100,28,0.2
Aisling Daly,16,6,0,157.48,52.16,2.92,52,1.4,55,2.15,41,33,0.9
Aleksandra Albu,3,2,0,157.48,52.16,4.83,47,5.56,38,2.27,50,77,0.4
Ariane Carnelossi,14,3,0,157.48,52.16,3.04,40,4.72,43,1.62,55,8,0.3
Charlene Gellner,0,4,0,157.48,56.7,2.01,42,3.24,43,0,0,0,1.7
Denise Gomes,8,3,0,157.48,52.16,4.81,48,3.66,49,1.13,33,47,0.8
Emily Ducote,13,8,0,157.48,52.16,6.93,48,7.98,56,0.25,14,92,0
Hector Sandoval,14,4,0,157.48,56.7,3.31,52,2.33,65,3.49,25,71,1.4
Jenna Castillo,1,0,0,157.48,56.7,3.24,56,2.01,57,1.68,100,100,0
Jennifer Gonzalez,13,5,0,157.48,56.7,0,0,0,0,0,0,0,0
Jeremia Siregar,6,3,0,157.48,56.7,2.8,42,7.37,29,0,0,75,0
Josiane Nunes,10,1,0,157.48,65.77,7.22,44,5.85,52,0,0,70,0
Julia Polastri,12,3,0,157.48,52.16,6.19,52,5.11,62,0.62,100,42,0.6
Karolina Wojcik,9,2,0,157.48,52.16,2.67,65,0.87,62,2,66,100,1
Kay Hansen,7,6,0,157.48,52.16,3.01,50,3.19,51,1.83,22,37,0.8
Khomkrit Niimi,6,10,0,157.48,56.7,0,0,5.73,44,0,0,0,0
Lissette Neri,6,4,0,157.48,65.77,0,0,0,0,0,0,0,0
Loopy Godinez,12,3,0,157.48,52.16,4.31,49,3.76,62,3.39,46,86,1.1
Luana Pinheiro,11,2,0,157.48,52.16,3.89,41,4.38,62,2.36,40,66,0.3
Mabelly Lima,7,1,0,157.48,61.23,3.07,63,5.67,44,0,0,100,0
Melissa Martinez,7,1,0,157.48,52.16,3,57,2.53,45,1,50,0,0
Phil Johns,30,14,1,157.48,77.11,1.2,66,1.8,50,0,0,50,0
Rayanne Amanda,14,6,0,157.48,52.16,3.67,31,6.87,57,1,25,0,0
Seo Hee Ham,17,8,0,157.48,52.16,4.2,39,5.15,61,0,0,66,0.2
Stephanie Frausto,8,7,0,157.48,52.16,1.43,21,3.57,60,0,0,0,0
Tina Lahdemaki,5,1,0,157.48,52.16,1.93,20,4.67,57,0,0,16,0
Vanessa Demopoulos,10,5,0,157.48,52.16,3.44,43,5.06,43,0.49,13,30,0.7
YeDam Seo,6,3,0,157.48,52.16,0.33,15,2.27,55,0,0,0,0
Alex Chambers,5,5,0,160.02,52.16,2.97,54,5.1,50,2.31,41,53,1
Alfonso Alcarez,1,3,1,160.02,65.77,0,0,0,0,0,0,0,0
Amanda Cooper,3,5,0,160.02,52.16,3.55,44,3.2,51,1.53,38,28,1.8
Amanda Ribas,12,4,0,160.02,52.16,4.92,42,3.33,63,1.99,51,87,0.8
Angela Hill,16,13,0,160.02,52.16,5.44,50,4.94,61,0.73,34,75,0.1
Anna Elmose,3,2,0,160.02,52.16,3.68,49,4.64,56,0,0,33,0
Bao Quach,19,10,1,160.02,65.77,0,0,0,0,0,0,0,0
Charlie Valencia,12,7,0,160.02,61.23,2.58,37,2.61,77,1.4,53,75,0.5
Cheyanne Vlismas,7,3,0,160.02,52.16,4.93,50,2.57,64,0.25,33,66,0.2
Chris Cariaso,17,8,0,160.02,56.7,3.35,43,2.23,61,1.11,39,57,0.8
Claudia Leite,8,3,0,160.02,61.23,1.27,47,1.73,57,1,25,0,1
Cory McKenna,8,2,0,160.02,52.16,3.01,40,3.22,48,2.04,56,71,0.5
Cristina Stanciu,5,2,0,160.02,52.16,2.5,50,3.07,52,0.85,100,40,1.7
Demetrious Johnson,27,3,1,160.02,56.7,3.43,54,1.66,67,3.35,56,65,0.5
Elise Reed,7,4,0,160.02,52.16,2.66,49,3.06,52,0.58,60,42,0
Emily Kagan,3,3,0,160.02,52.16,2.6,36,5.29,38,1.86,14,50,0
Fredy Serrano,3,2,0,160.02,56.7,1.58,26,1.89,61,2.84,25,84,0
Gabrielle Holloway,6,5,0,160.02,65.77,0.7,42,3.07,34,3,35,16,1
Hilarie Rose,4,2,0,160.02,52.16,2.33,33,6.13,44,0,0,100,0
Iasmin Lucindo,15,5,0,160.02,52.16,3.33,39,3.23,67,2.33,66,66,0.4
Iony Razafiarison,2,1,0,160.02,65.77,1.2,42,1.4,53,2,50,75,0
Isabela de Padua,5,2,0,160.02,56.7,1,35,2.07,50,2,66,0,1
Jamie Colleen,4,1,0,160.02,52.16,3.11,61,5.66,33,0.52,33,50,1.6
Jaqueline Amorim,7,1,0,160.02,52.16,3.42,52,1.81,62,1.57,23,0,3.7
Jarred Brooks,13,2,0,160.02,56.7,2.12,46,1.66,62,4.54,57,69,0.6
Jessica Aguilar,20,8,0,160.02,52.16,4.93,50,7.19,53,0.94,25,50,0.2
Jinh Yu Frey,11,10,0,160.02,52.16,2.97,43,4.23,52,1.02,36,90,0.3
Joao Elias,17,4,1,160.02,56.7,0.4,50,6.47,20,0,0,50,0
John Dodson,22,12,0,160.02,61.23,3.2,40,3.58,61,0.71,28,82,0
John Lineker,31,9,0,160.02,61.23,5.36,40,4.27,56,0.56,58,67,0.6
Josefine Knutsson,7,0,0,160.02,52.16,3.73,52,1.33,64,2.67,72,100,0
Juancamilo Ronderos,4,2,0,160.02,56.7,2.18,30,2.18,63,2.72,33,0,0
Kali Robbins,6,3,0,160.02,52.16,3.73,46,9.4,44,2,33,0,0
Kaline Medeiros,8,5,0,160.02,52.16,2.06,70,0.29,83,4.41,100,0,4.4
Karla Benitez,14,11,1,160.02,51.26,0,0,2.4,57,0,0,100,0
Karolina Kowalkiewicz,16,7,0,160.02,52.16,5.92,43,5.55,59,0.36,26,74,0.2
Kathryn Paprocki,3,2,0,160.02,52.16,1,23,4.27,43,0,0,0,0
Ketlen Souza,13,4,0,160.02,56.7,0,0,1.71,70,0,0,0,0
Lacey Schuckman,11,10,0,160.02,56.7,0,0,0,0,0,0,0,0
Livinha Souza,14,4,0,160.02,52.16,1.75,45,3.6,56,2.54,45,40,1.4
Louis Gaudinot,8,4,0,160.02,56.7,2.34,37,6.42,48,0.57,40,31,1.1
Lucas Rocha,17,1,0,160.02,61.23,1.51,53,4.15,33,0,0,66,0
Maria Silva,8,1,0,160.02,52.16,3,57,1.13,62,2,100,55,0.5
Megumi Fujii,26,3,0,160.02,51.26,2.4,42,0,100,0,0,0,12
Michelle Waterson-Gomez,18,12,0,160.02,52.16,3.56,46,4.19,49,1.42,32,70,0.7
Micol Di Segni,7,3,0,160.02,52.16,7.47,40,5.87,33,0,0,37,0
Milana Dudieva,11,6,0,160.02,61.23,0.87,31,3.43,58,2.34,45,0,0
Miranda Maverick,14,5,0,160.02,56.7,3.71,46,2.62,59,2.41,48,42,0.5
Mizuki,15,6,0,160.02,52.16,4.56,50,5.62,48,0.33,14,85,0
Nicdali Rivera-Calanoc,9,10,0,160.02,47.63,1.82,20,2.42,78,0,0,0,0
Piera Rodriguez,9,1,0,160.02,52.16,3.46,46,2.98,57,3.31,41,66,0
Rachael Ostovich,4,6,0,160.02,56.7,2.54,43,3.97,57,2.03,83,66,0.8
Rosi Sexton,13,5,0,160.02,61.23,3.31,39,7.42,41,0.75,10,80,0
Santo Curatolo,6,2,0,160.02,56.7,1.4,39,6.07,34,2,33,100,0
Silvana Gomez Juarez,11,5,0,160.02,52.16,4.26,32,4.04,61,0,0,30,0
Tiffany Masters,2,1,0,160.02,52.16,3.53,62,2.58,50,3.06,60,0,0
Tomomi Iwama,9,6,2,160.02,70.31,1,20,3,70,0,0,0,0
Turrell Galloway,8,6,0,160.02,65.77,0,0,0,0,0,0,0,0
Virna Jandiroba,19,3,0,160.02,52.16,2.34,40,3.03,56,2.42,39,73,1
Yan Qihui,11,4,0,160.02,56.7,4.01,60,1.78,72,4.46,100,100,0
Yazmin Jauregui,10,1,0,160.02,52.16,6.26,41,4.87,54,0,0,100,0
AJ Fonseca,5,4,0,162.56,65.77,0,0,0,0,0,0,0,0
Alessandro Costa,13,4,0,162.56,56.7,3.75,46,3.61,56,0.31,16,90,0
Ali Bagautinov,15,6,0,162.56,56.7,2.85,42,3.09,52,2.51,36,65,0.3
Amanda Lemos,13,3,1,162.56,52.16,3.54,55,4.66,42,0.82,55,55,0.8
Anthony Do,4,2,0,162.56,56.7,0,0,0,0,0,0,0,0
Anthony Figueroa,11,8,1,162.56,61.23,2.37,48,3.77,49,0,0,58,0
Assu Almabayev,18,2,0,162.56,56.7,3.18,65,0.49,77,3.67,40,0,3.7
Barb Honchak,10,4,0,162.56,56.7,4.04,30,4.67,66,0,0,0,1.3
Bentley Syler,5,1,0,162.56,56.7,1.3,18,1.73,79,0,0,75,0
Brandon Lewis,6,2,0,162.56,61.23,2.17,29,3.63,53,1,15,20,0
Brogan Walker,8,4,0,162.56,56.7,2.04,30,3.7,47,0,0,11,0
Bryanna Fissori,2,4,0,162.56,65.77,1.4,46,1.2,57,2,25,50,0
Carina Damm,2,13,0,162.56,61.23,0,0,0,0,0,0,0,0
Carlos Huachin,10,5,1,162.56,61.23,2.1,21,4.8,50,0,0,66,0
Carlos Mota,8,2,0,162.56,56.7,0.8,41,1.13,54,0,0,50,1
Chad Robichaux,13,2,0,162.56,61.23,0,0,0,0,0,0,0,0
Chelsea Hackett,3,1,1,162.56,56.7,2.58,51,4.85,46,0,0,57,0
Claudia Gadelha,18,5,0,162.56,52.16,3.31,41,4.57,57,3.03,42,58,0.7
Cortavious Romious,7,2,0,162.56,61.23,14.48,31,20.69,41,0,0,0,0
Cynthia Calvillo,9,6,1,162.56,52.16,4.41,38,4.12,64,1.8,44,77,0.8
Dan O'Connor,6,6,0,162.56,52.16,4,56,5.1,54,0,0,100,0
DeAnna Bennett,8,3,1,162.56,56.7,3.13,58,3.27,58,0,0,0,1
Dustin Moore,0,2,0,162.56,56.7,0,0,0,0,0,0,0,0
Eperaim Ginting,6,1,0,162.56,61.23,0,0,0,100,15.52,100,0,0
Erin Blanchfield,12,1,0,162.56,56.7,5.58,52,3.32,62,2.86,36,83,1.2
Estefani Almeida,7,3,0,162.56,56.7,3.13,37,6.07,42,0,0,0,0
Federico Lopez,10,6,0,162.56,63.05,1.78,23,5.35,30,0,0,0,0
Felice Herrig,14,10,0,162.56,52.16,3.84,37,5.19,48,1.08,28,75,0.8
Fiona Muxlow,6,3,0,162.56,65.77,1.44,27,5.45,34,0,0,0,0
Guangyou Ning,5,4,1,162.56,65.77,2.66,41,1.91,61,1.09,50,62,0.3
Hannah Goldy,6,4,0,162.56,52.16,5.19,47,4.67,50,0.66,12,54,0.2
Henry Cejudo,16,3,0,162.56,61.23,3.93,47,3.15,60,2.07,34,83,0.2
Hitomi Akano,18,10,0,162.56,61.23,0.59,45,2.58,55,0,0,8,0.5
Ilima Macfarlane,6,0,0,162.56,56.7,4.13,43,2.93,65,0,0,50,1
Isis Verbeek,5,2,0,162.56,52.16,3.13,43,3.53,53,0,0,66,0
Istela Nunes,6,5,0,162.56,52.16,5.02,45,4.84,60,0,0,50,0
Jennifer Maia,21,10,1,162.56,56.7,4.35,38,4.52,55,0.42,27,58,0.1
Jesus Aguilar,9,2,0,162.56,56.7,1.69,49,1.03,63,2.72,37,0,1.8
Jimmie Rivera,23,5,0,162.56,61.23,4.03,40,3.9,60,0.88,27,92,0.1
Joe Son,0,4,0,162.56,107.05,0,0,0,0,0,0,0,0
Joe Taimanglo,23,7,1,162.56,61.23,4.18,42,4.55,59,5.45,40,100,1.4
Jose Torres,8,1,0,162.56,56.7,4.37,36,9.84,50,1.28,33,75,0
Joseph Benavidez,28,8,0,162.56,56.7,3.52,34,2.67,61,1.41,30,62,0.6
Josh Diekmann,15,8,0,162.56,111.58,0.28,5,8.17,25,0,0,0,0
Josh Sampo,11,5,0,162.56,56.7,1.99,36,2.96,55,1.06,33,40,2.1
Justin Pennington,3,3,0,162.56,,0,0,0,0,0,0,0,0
Kai Kara-France,24,11,0,162.56,56.7,4.57,39,3.24,65,0.63,33,88,0
Kailin Curran,4,5,0,162.56,52.16,3.89,43,4.75,53,2,57,61,0.6
Karine Gevorgyan,3,3,0,162.56,56.7,1.2,20,1.8,76,0,0,0,0
Kevin Gray,9,4,0,162.56,56.7,3.45,62,4.48,66,0,0,0,0
Lara Procopio,7,2,0,162.56,56.7,5.64,58,6.5,47,3.15,47,50,0.3
Liana Jojua,8,5,0,162.56,56.7,2.42,30,5.32,54,1.71,66,50,1.3
Liliya Shakirova,8,2,0,162.56,56.7,2.7,30,2.58,74,0,0,0,0
Lisa Ellis,15,11,0,162.56,52.16,1.68,48,2.32,57,4.19,63,50,0.6
Mackenzie Dern,13,4,0,162.56,52.16,3.49,40,4.21,51,0.77,14,40,1.4
Maia Stevenson,6,5,0,162.56,52.16,1.57,54,3.13,33,3.91,100,50,0
Mallory Martin,7,5,0,162.56,52.16,4.42,48,6.64,55,2.28,43,25,0.3
Marcos da Matta,11,3,0,162.56,65.77,0,0,0,0,0,0,0,0
Marcus Brimage,7,7,0,162.56,61.23,3.97,35,3.64,56,0.56,100,80,0
Marilia Santos,10,3,0,162.56,56.7,4.4,54,4.07,53,1,100,66,1
Mark Climaco,9,2,0,162.56,56.7,4.13,59,2.9,57,3.5,36,46,0
Masakazu Imanari,36,16,2,162.56,63.05,0.55,30,1.74,57,0,0,0,2.1
Matt Horning,20,25,0,162.56,56.7,0,0,0,0,0,0,0,0
Molly McCann,13,6,0,162.56,56.7,5.68,49,4.9,63,1.65,35,43,0.5
Natalia Silva,16,5,1,162.56,56.7,5.2,48,2.23,65,0.68,33,92,0
Neil Seery,16,13,0,162.56,56.7,3.56,41,3.79,58,0.78,27,53,1.6
Nick Garcia,8,3,0,162.56,56.7,0.67,25,3.03,50,0,0,83,5.1
Norifumi Yamamoto,18,6,0,162.56,61.23,2.09,45,2.01,57,0.41,22,45,0
Paige VanZant,8,5,0,162.56,52.16,3.35,52,2.62,42,1.27,33,34,1
Patricia Alujas,9,3,0,162.56,52.16,5.83,31,9.25,44,0,0,0,0
Pauline Macias,4,1,0,162.56,52.16,0.8,29,4.6,42,2,18,0,0
Pearl Gonzalez,6,3,0,162.56,52.16,2.23,37,4.07,57,1.04,11,0,0.5
Phil Harris,22,12,0,162.56,56.7,2.34,26,3.16,68,1.76,21,60,0
Randa Markos,11,12,1,162.56,52.16,2.97,43,3.1,58,1.12,28,52,0.2
Ray Borg,13,5,0,162.56,61.23,1.52,52,1.93,48,3.89,50,46,1
Roldan Sangcha'an,4,2,0,162.56,56.7,2.71,46,2.15,51,1.94,60,68,0
Saimon Oliveira,18,5,0,162.56,61.23,2.82,41,3.91,48,1.21,25,35,1.6
Sarah Alpar,9,6,0,162.56,61.23,2.36,44,6.06,38,1.61,26,20,0.4
Sarah Payant,1,4,0,162.56,52.16,0.29,16,2.06,30,0,0,0,0
Sijara Eubanks,8,7,0,162.56,56.7,4.3,43,3.43,57,1.9,44,66,0.3
Sovannahry Em,3,1,0,162.56,61.23,0,0,0,0,0,0,0,0
Stephen Palling,11,7,1,162.56,64.86,0,0,0,0,0,0,0,0
Syuri Kondo,6,3,0,162.56,52.16,5.4,44,7.22,58,0,0,83,0.3
Takayo Hashi,15,6,1,162.56,61.23,2.84,26,6.56,61,0,0,0,0
Talita Bernardo,6,4,0,162.56,61.23,3.12,42,4.04,55,1.62,22,28,0.5
Valesca Machado,8,3,0,162.56,52.16,2.4,32,2.87,64,0,0,76,0
Veronica Hardy,8,4,1,162.56,56.7,3.27,45,4.1,46,1.27,41,57,0.4
Viviane Araujo,12,5,0,162.56,56.7,4.34,47,5.19,55,1.83,46,77,0.7
Wallen Del Rosario,8,2,0,162.56,56.7,1.4,32,4.73,40,1,16,100,0
Wilson Reis,23,10,0,162.56,56.7,1.83,29,3.04,55,5.15,42,47,0.6
Zach Makovsky,20,8,0,162.56,56.7,1.94,43,2.24,62,3.71,30,56,0.3
Zhalgas Zhumagulov,14,9,0,162.56,56.7,5.24,43,5.86,52,1.3,19,75,0.2
Zhang Weili,24,3,0,162.56,52.16,5.94,51,3.44,53,2.29,42,66,0.4
Zoila Frausto,13,5,0,162.56,61.23,0.77,31,1.64,53,0,0,57,0
Aaron Trujillo,0,1,0,165.1,56.7,0,0,0,0,0,0,0,0
Adam Antolin,12,3,0,165.1,56.7,5.73,52,5,69,0,0,100,0
Ailin Perez,9,2,0,165.1,61.23,2.96,55,1.18,57,4.89,50,75,0
Alan Hiro,14,5,4,165.1,61.23,0,0,0,0,0,0,0,0
Alatengheili,16,9,2,165.1,61.23,2.88,33,5.03,58,1.82,40,72,0
Alberto Crane,15,5,0,165.1,70.31,0.43,25,2.61,57,0,0,50,4
Alexa Grasso,16,3,1,165.1,56.7,4.67,43,3.95,58,0.41,45,59,0.6
Alexandre Pantoja,26,5,0,165.1,56.7,4.41,48,3.81,51,1.75,44,66,1
Allan Begosso,7,2,1,165.1,61.23,1.8,40,7.73,34,0,0,25,2
Alptekin Ozkilic,9,5,0,165.1,56.7,3.81,32,5.72,59,4.21,58,75,0
Amir Albazi,17,1,0,165.1,56.7,2.8,39,3.07,63,1.71,33,40,0.7
Anderson Dos Santos,21,9,0,165.1,61.23,2.7,25,5.37,49,0.98,14,66,0.7
Antonio Banuelos,20,11,1,165.1,61.23,2.69,33,3.15,58,1.62,62,86,0.4
Arlene Blencowe,9,6,0,165.1,65.77,2.31,43,2.1,43,0,0,55,0.6
Ben Nguyen,16,8,0,165.1,56.7,3.51,40,3.01,59,0.25,33,63,1
Bendy Casimir,20,14,2,165.1,65.77,0.74,27,3.42,54,0,0,100,0
Bethe Correia,11,6,1,165.1,61.23,4.37,43,4.93,56,0.39,18,85,0
Bibulatov Magomed,14,2,0,165.1,56.7,3.6,51,1.83,52,2.85,40,75,0
Billy Pasulatan,10,3,0,165.1,56.7,0.65,20,5.22,48,0,0,0,4.9
Carls John De Tomas,6,2,0,165.1,56.7,1.74,37,3.93,44,1.37,33,66,0
Chan-Mi Jeon,5,2,0,165.1,52.16,6.23,31,7.77,55,0,0,0,0
Claudionor Fontinelle,10,15,1,165.1,83.91,2.62,42,10.25,28,0,0,0,0
Damian Stasiak,10,6,0,165.1,61.23,1.86,36,3.1,52,2.64,35,43,0.6
Daniel Teymur,7,4,0,165.1,65.77,3.08,46,3.93,56,0.56,18,60,0.3
Davi Bittencourt,14,4,0,165.1,61.23,4.15,66,1.51,46,14.15,33,0,0
David Dvorak,20,6,0,165.1,56.7,3.48,43,3.29,59,0.58,30,70,0.2
David Velasquez,10,10,0,165.1,65.77,0,0,0,0,0,0,0,0
Deiveson Figueiredo,22,3,1,165.1,61.23,3.08,55,3.46,51,1.65,44,58,1.6
Del Hawkins,22,17,0,165.1,61.23,1.15,27,2.01,46,0,0,0,0
Dileno Lopes,19,3,0,165.1,61.23,2.37,36,3.33,53,2.5,31,100,1.5
Dustin Ortiz,19,8,0,165.1,56.7,2.94,44,2.17,56,3.01,36,52,0.1
Elias Garcia,6,2,0,165.1,56.7,1.59,27,5.05,50,0.68,14,33,1.4
Emily Whitmire,4,5,0,165.1,56.7,2.5,31,2.98,54,1.9,66,70,0.5
Fabio Mello,11,8,0,165.1,70.31,0.86,35,3.94,50,0,0,0,0
Geane Herrera,9,3,0,165.1,56.7,1.51,31,5.07,52,0.83,37,38,0.6
Gillian Robertson,12,8,0,165.1,52.16,2.6,45,3.21,55,2.46,41,43,0.9
Gloria de Paula,6,5,0,165.1,52.16,4.89,53,3.77,66,0.74,37,65,0.5
Gustavo Lopez,12,6,1,165.1,61.23,2.48,40,3.87,57,1.74,41,31,0.7
Ian Entwistle,9,3,0,165.1,61.23,0.11,7,7.36,31,0,0,0,12.1
Ian McCall,13,5,1,165.1,56.7,3.59,39,3.25,67,2.08,30,88,0
Iliarde Santos,30,13,1,165.1,56.7,3,30,6.1,57,1.66,23,83,0
Issei Tamura,10,8,0,165.1,61.23,1.89,53,4.58,44,0.92,25,33,0
Izabela Badurek,6,3,0,165.1,52.16,3.74,71,4.9,32,1.75,12,100,0
Jacob Silva,6,4,0,165.1,56.7,4.17,44,4.92,56,1.51,100,66,0
Jaimelene Nievera,7,4,0,165.1,56.7,1.67,53,8.73,33,1.79,16,0,0
Jason McLean,6,7,0,165.1,65.77,0,0,0,0,0,0,0,0
Jenel Lausa,7,5,0,165.1,56.7,1.44,42,3.53,53,0.55,66,51,0.8
Jeri Sitzes,3,1,0,165.1,56.7,0,0,0,0,0,0,0,0
Jessica Penne,14,8,0,165.1,52.16,2.52,31,4.75,46,1.32,21,36,0.6
Jessica-Rose Clark,11,9,0,165.1,61.23,3.73,51,3.51,58,1.66,42,62,0.3
Jhonata Silva,8,2,0,165.1,56.7,4.86,52,9.85,44,0,0,0,0
JJ Aldrich,13,6,0,165.1,56.7,4.05,46,4.53,60,0.71,25,66,0
Jose Maria,37,7,0,165.1,56.7,3.2,53,3.98,52,2.32,27,33,2.3
Josh Ferguson,10,5,0,165.1,56.7,2.13,43,4.18,32,0.59,11,54,0
Joshua Van,9,1,0,165.1,56.7,9.2,51,5.93,63,1,33,87,0
Journey Newson,10,5,0,165.1,61.23,2.64,32,2.57,64,0.56,16,43,0.3
JP Buys,9,6,0,165.1,61.23,1.88,39,3.02,40,1.55,25,25,2.3
Juliana Lima,9,5,0,165.1,52.16,1.94,44,2.11,55,1.72,31,70,0
Julie Kedzie,16,13,0,165.1,61.23,2.9,36,3.18,46,1.14,23,78,0
JungHyun Lee,8,1,0,165.1,56.7,4.27,39,6.2,38,0,0,64,0
Jussier Formiga,23,8,0,165.1,56.7,1.42,39,2.34,64,1.82,35,87,0.6
Justin Robbins,14,18,1,165.1,61.23,0.67,37,3.2,47,0,0,0,0
Justine Kish,7,4,0,165.1,56.7,4.51,48,4.59,57,0.87,33,50,0.1
Karine Silva,17,4,0,165.1,56.7,3.37,35,3.37,50,2.45,60,0,4.1
Karol Rosa,17,5,0,165.1,61.23,5.43,55,4.17,48,1.38,47,68,0
Keisuke Sasu,11,3,1,165.1,65.77,2.76,49,2.42,48,3.76,40,61,1.9
Kevin Borjas,9,2,0,165.1,56.7,5.4,41,6.63,49,0,0,56,0
Khalid Taha,13,5,0,165.1,61.23,2.64,32,4.12,46,0,0,61,0.2
Kin Moy,8,3,0,165.1,61.23,2.3,33,1.93,62,1.67,42,50,1.7
Kleydson Rodrigues,8,3,0,165.1,61.23,5.48,62,2.75,48,0.85,25,63,0.8
Kwan Ho Kwak,9,2,0,165.1,61.23,3.29,41,3.45,47,0.78,100,26,0
Kyoji Horiguchi,19,2,0,165.1,56.7,3.6,45,2.45,62,2,44,55,0
Lauren Mueller,5,3,0,165.1,56.7,4.08,41,3.77,58,0.7,50,71,0
Lauren Murphy,16,6,0,165.1,56.7,4.05,39,5.25,55,1.03,25,69,0.1
Liang Na,19,7,0,165.1,56.7,1.93,40,4.48,27,5.1,60,0,0.8
Maiara Amanajas dos Santos,7,3,0,165.1,52.16,5.53,35,24.47,33,0,0,100,0
Manel Kape,19,6,0,165.1,56.7,5.12,54,4.51,59,0.65,37,77,0.4
Manny Tapia,12,14,1,165.1,61.23,2.69,21,4.74,58,0.49,40,66,0.2
Manvel Gamburyan,15,10,0,165.1,61.23,2.13,41,2.83,55,3.26,34,69,0.7
Maria Rios,2,3,0,165.1,56.7,2.93,34,4.13,56,2,50,100,0
Matt Ramirez,2,3,0,165.1,56.7,3.03,50,0.67,75,2.53,16,100,0
Mayana Kellem,7,1,0,165.1,61.23,1.94,22,2.9,62,0,0,0,0
Maycee Barber,13,2,0,165.1,56.7,4.6,52,2.72,54,1.14,35,45,0.1
Melchor Manibusan,2,4,0,165.1,69.85,1.58,54,5.79,15,0,0,0,0
Melissa Gatto,8,2,2,165.1,56.7,3.98,48,3.13,54,1.18,21,63,0.3
Michinori Tanaka,11,3,0,165.1,61.23,1.97,37,1.99,50,2.4,38,43,0.2
Mitch Gagnon,12,5,0,165.1,61.23,2.76,46,2.21,61,1.16,25,65,1.9
Mitch Raposo,5,1,0,165.1,56.7,2.57,25,3.18,56,3.67,66,0,0
Nadia Kassem,5,2,0,165.1,56.7,3.13,41,4.48,48,0.46,33,40,2.8
Nayara Maia,7,1,1,165.1,56.7,0.6,36,3.33,43,1,33,0,1
Nicco Montano,5,3,0,165.1,61.23,5.6,41,4.43,64,2.25,54,69,0.4
Nina Nunes,11,7,0,165.1,56.7,4.39,45,3.47,55,0.24,33,73,0.5
Patricio Freire,26,4,0,165.1,65.77,2.84,41,4.43,60,0.6,18,94,0.6
Pedro Nobre,18,4,2,165.1,61.23,1.37,30,9.16,35,0,0,0,0
Philip Perez,7,5,1,165.1,70.31,1.36,100,0.68,66,10.23,100,0,10.2
Polyana Viana,13,6,0,165.1,52.16,3.19,41,2.63,55,0.93,33,43,2.1
Rafael Rebello,9,4,0,165.1,61.23,2.19,32,3.29,58,2.82,33,75,0.5
Rama Supandhi,8,4,0,165.1,56.7,2.2,42,3.53,48,1,11,0,0
Raphael Assuncao,28,10,0,165.1,61.23,3.22,42,2.5,66,1.65,39,78,0.2
Ravena Oliveira,7,2,1,165.1,61.23,1,48,1.2,48,2,66,62,0
Rodolfo Rubio Perez,10,16,1,165.1,65.77,1.13,36,1,62,2,33,33,0
Rogerio Bontorin,16,4,0,165.1,56.7,2.63,52,3.27,50,2.9,60,51,1
Rose Namajunas,12,6,0,165.1,56.7,3.68,40,3.53,62,1.49,48,60,0.6
Roybert Echeverria,7,1,0,165.1,56.7,2.95,53,2.52,57,0,0,71,2.6
Ryan Bastianelli,6,7,0,165.1,61.23,0,0,0,0,0,0,0,0
Ryan Benoit,10,8,0,165.1,56.7,2.88,39,3.65,58,0.28,22,72,0.4
Sam Hughes,8,5,0,165.1,52.16,3.79,46,4.23,54,1.12,41,57,0
Sarah Kaufman,18,4,0,165.1,61.23,6.65,46,4,62,0.38,57,81,0
